deviceid,timestamp,condition,order1_fftg,order1_fftv,order2_fftg,order2_fftv,order3_fftg,order3_fftv,order4_fftg,order4_fftv,order5_fftg,order5_fftv,order6_fftg,order6_fftv,order7_fftg,order7_fftv,order8_fftg,order8_fftv,speed,temperature
2_X,2020-03-11 12:14:33,SI,0.36383054306275814,36.8228498661793,0.018505253395439868,0.9217243053714468,0.15339085060180527,5.041454466211828,0.1562689784647505,3.911913792351507,0.6445476306890027,12.941076454801047,0.719552481715075,11.900816741110967,0.5052876688556851,7.206950419680709,0.16287811082216744,2.0677627894707973,661.6660461425781,29.346967697143555
2_X,2020-03-11 12:15:44,SI,0.37206317639835307,37.65635808572226,0.01664533930982501,0.8309584290548061,0.14270165911886468,4.6957713713866145,0.15906453074112822,3.9814982350855956,0.6388416950978616,12.824066293314594,0.7252619880112856,12.008712247187248,0.4163107144368016,5.951764058267017,0.09327243061604129,1.1997958580103394,659.5957336425781,29.150495529174805
2_X,2020-03-11 12:16:55,SI,0.2718520674769022,27.50941695624726,0.0077664039295066946,0.3906017357324307,0.10635814388605294,3.499981368036965,0.14410588953477538,3.626343103811553,0.6640685943440257,13.363554555786969,0.6529346948188193,10.854852181859147,0.5539559684767029,7.95430273035596,0.20934988660606454,2.706839406061824,659.7208251953125,29.19960594177246
2_X,2020-03-11 12:18:06,SI,0.34442970883529606,34.857134501841294,0.01150639369683274,0.5752860033744455,0.14124695817191427,4.664649657461349,0.157632994002757,3.9618074879093768,0.6220403833280299,12.507768538641729,0.6502372468631595,10.798973035972484,0.4295249314175681,6.159455818621232,0.18005758607195205,2.292387852616433,659.7867431640625,29.12594223022461
2_X,2020-03-11 12:19:17,SI,0.26029561048366956,26.34035225073739,0.007566775260295982,0.3853427154935587,0.10494216491349788,3.4592760328945005,0.11920872489142788,2.998302316705672,0.701982873353505,14.119098429809233,0.7736803825733326,12.870606768481862,0.6580979409047163,9.421770132377258,0.1441784628071337,1.8163181910952155,659.8470764160156,29.150495529174805
1_X,2020-03-11 12:20:28,SI,0.36250773697863076,36.693670828258696,0.019431299461789297,0.9741706585229319,0.0979910566185694,3.2429935485106305,0.2167061683205379,5.445860381063507,0.8805076101067991,17.70786709292986,0.7289406068373515,12.124919128004278,0.4899093668747543,7.038725059155318,0.11775891293349687,1.5305121273866193,659.7757263183594,29.19960594177246
2_X,2020-03-11 12:21:39,SI,0.3074996598396732,31.119239132752007,0.006597322766715429,0.3373407509298606,0.14713376631774677,4.85850009395816,0.11980676887875745,3.016233074172175,0.754121374403975,15.160534407812841,0.5168380609166324,8.57127259304785,0.5506267869841825,7.8990604043101325,0.21111143587162515,2.657206988887895,659.6000671386719,29.346967697143555
2_X,2020-03-11 12:22:50,SI,0.3094339981601687,31.314699363441584,0.009346758724628831,0.4680731601750159,0.1279332314982496,4.1982748520787485,0.1501220246286414,3.7781990362221816,0.6092974370864762,12.236362002617504,0.42467148539905336,7.04770015417379,0.6144140300461471,8.777641737444588,0.1591743609830216,2.002462653773241,659.6769409179688,29.175050735473633
2_X,2020-03-11 12:24:01,SI,0.3162785847880178,32.00797914041321,0.010006144752726532,0.508074550600018,0.12184575197582935,3.99708445060391,0.13221702744364497,3.3270933666011455,0.7324029205180783,14.727029355185719,0.4210998452442267,7.009148845697548,0.745514703554484,10.668238162596651,0.14577525753206572,1.8302660184517987,659.9150085449219,29.29785919189453
2_X,2020-03-11 12:03:52,SI,0.36610779984054126,37.053128574694334,0.013389877420026126,0.6655734407093625,0.12460336740107054,4.077698290832743,0.15157075048802554,3.803040185999295,0.589342168276433,11.82204621615729,0.6242742436685084,10.342563929815325,0.34106440472937793,4.8755232179933765,0.1839068200456528,2.3566978294708405,661.7927856445312,29.445186614990234
2_X,2020-03-11 12:25:12,SI,0.2598282912341656,26.29284225411215,0.014494968983278476,0.7271667657756944,0.13335743615056997,4.380061954829879,0.13310623542189368,3.3517933683990306,0.6243892249405578,12.551043770262892,0.6400149613412515,10.636802532005415,0.5780534264391013,8.271838165874174,0.10118057505045255,1.299778025720297,659.6878967285156,29.175050735473633
2_X,2020-03-11 12:26:23,SI,0.3532416661337025,35.749272449262435,0.01492799525923952,0.7501066472961229,0.11694262693026482,3.8268885075471037,0.14397219665375557,3.621117874032201,0.7056464087490514,14.17445576762564,0.7731374039534525,12.853015036190737,0.6085724900572027,8.715110571409214,0.21562847358128412,2.7334275028800503,659.6059875488281,29.12594223022461
1_X,2020-03-11 12:05:03,SI,0.3159125922763738,31.975911755283914,0.007932007133306235,0.39874311822913766,0.07388796012556594,2.463388793020082,0.15979262679480147,4.005779691393981,1.0393946538526468,20.828064064070595,0.6464825862833798,10.733250017159794,0.5825913032623949,8.32533231961309,0.08546188325001311,1.1125334348384603,661.7800903320312,29.175050735473633
2_X,2020-03-11 12:06:15,SI,0.28827507423024684,29.175402099920145,0.011959291607226327,0.5972938565269222,0.11116778430863135,3.6414491355236227,0.10936316259533962,2.745068442063982,0.7085551728149794,14.191752491156082,0.7343883208297008,12.129503250783367,0.3682942618809197,5.267621293503442,0.239188774427848,3.0417416712088423,661.399169921875,29.38378143310547
2_X,2020-03-11 12:07:26,SI,0.24516625515122478,24.809380046120676,0.015412159692483137,0.7692560322923193,0.11833217118648126,3.8610689143747963,0.1253879624989766,3.1500617244530096,0.6459707731458091,12.953013340192667,0.6787592536947022,11.238874974932077,0.5902736173247237,8.417670382201605,0.2112319156325562,2.7612705422908728,661.2876892089844,29.175050735473633
2_X,2020-03-11 12:08:38,SI,0.2756029220604031,27.89051022041378,0.016885585700525278,0.8416890710483043,0.10278963162007415,3.366665178062999,0.13444314021414266,3.37394241418998,0.5949287208234698,11.93971480127209,0.6688907061535688,11.071440779792194,0.5199609557429165,7.465631409301384,0.15826301238228024,2.04210745445488,661.3826293945312,29.359228134155273
2_X,2020-03-11 12:09:49,SI,0.3121029138544207,31.586516037433412,0.015986312857380208,0.7983349754058913,0.09505389134573808,3.1176939732188296,0.14358458580889558,3.600732552267655,0.6436810573796393,12.90209382861559,0.4031511505037265,6.667613233126185,0.586062110128529,8.379908334189055,0.19300213420677811,2.44033720078732,661.1730651855469,29.21190071105957
